iter	Passed	Remaining
174	1531	2843
175	1537	2830
176	1544	2818
177	1551	2806
178	1557	2793
179	1564	2781
180	1571	2769
181	1578	2757
182	1585	2745
183	1594	2737
184	1603	2730
185	1611	2720
186	1618	2708
187	1627	2701
188	1637	2694
189	1644	2683
190	1651	2672
191	1658	2660
192	1665	2649
193	1672	2637
194	1678	2626
195	1686	2616
196	1694	2606
197	1706	2602
198	1714	2592
199	1721	2581
200	1728	2571
201	1735	2560
202	1742	2550
203	1749	2539
204	1757	2528
205	1763	2516
206	1770	2505
207	1777	2494
208	1783	2483
209	1790	2472
210	1797	2461
211	1804	2452
212	1811	2441
213	1818	2430
214	1825	2419
215	1832	2408
216	1838	2397
217	1845	2387
218	1852	2376
219	1858	2365
220	1865	2355
221	1872	2344
222	1879	2335
223	1886	2324
224	1894	2315
225	1900	2304
226	1907	2294
227	1914	2283
228	1921	2273
229	1929	2265
230	1936	2255
231	1943	2245
232	1950	2234
233	1957	2224
234	1963	2214
235	1970	2204
236	1977	2193
237	1985	2185
238	1993	2176
239	2002	2168
240	2008	2158
241	2015	2148
242	2022	2138
243	2029	2129
244	2036	2119
245	2043	2109
246	2050	2100
247	2056	2090
248	2063	2080
249	2070	2070
250	2077	2060
251	2083	2050
252	2090	2041
253	2097	2031
254	2104	2021
255	2111	2012
256	2117	2002
257	2124	1992
258	2131	1983
259	2138	1974
260	2145	1964
261	2152	1955
262	2159	1945
263	2166	1936
264	2173	1927
265	2180	1917
266	2187	1908
267	2195	1900
268	2203	1891
269	2210	1882
270	2216	1873
271	2224	1864
272	2231	1855
273	2237	1845
274	2245	1837
275	2252	1828
276	2259	1819
277	2266	1809
278	2273	1800
279	2280	1791
280	2287	1782
281	2294	1773
282	2302	1765
283	2309	1756
284	2316	1747
285	2323	1738
286	2330	1729
287	2337	1720
288	2344	1712
289	2351	1702
290	2359	1694
291	2366	1685
292	2373	1677
293	2380	1668
294	2387	1659
295	2395	1651
296	2403	1643
297	2411	1634
298	2418	1626
299	2426	1617
300	2433	1609
301	2440	1600
302	2447	1591
303	2454	1582
304	2461	1573
305	2468	1564
306	2475	1556
307	2482	1547
308	2489	1538
309	2496	1530
310	2504	1522
311	2513	1514
312	2521	1506
313	2529	1498
314	2537	1490
315	2546	1482
316	2556	1476
317	2566	1468
318	2575	1461
319	2583	1452
320	2590	1444
321	2598	1436
322	2609	1429
323	2620	1423
324	2629	1416
325	2639	1408
326	2647	1400
327	2657	1393
328	2666	1386
329	2676	1378
330	2687	1372
331	2697	1364
332	2706	1357
333	2714	1349
334	2723	1341
335	2731	1333
336	2738	1324
337	2744	1315
338	2752	1307
339	2759	1298
340	2767	1290
341	2774	1281
342	2781	1273
343	2788	1264
344	2796	1256
345	2804	1248
346	2812	1239
347	2819	1231
348	2826	1222
349	2832	1214
350	2839	1205
351	2847	1197
352	2855	1188
353	2861	1180
354	2868	1171
355	2877	1163
356	2884	1155
357	2891	1147
358	2898	1138
359	2905	1129
360	2912	1121
361	2919	1112
362	2926	1104
363	2933	1095
364	2939	1087
365	2946	1078
366	2954	1070
367	2961	1062
368	2967	1053
369	2974	1045
370	2982	1036
371	2989	1028
372	2996	1020
373	3003	1011
374	3010	1003
375	3017	995
376	3025	986
377	3032	978
378	3039	970
379	3046	961
380	3053	953
381	3060	945
382	3067	937
383	3074	928
384	3081	920
385	3088	912
386	3096	904
387	3103	895
388	3110	887
389	3117	879
390	3124	870
391	3131	862
392	3138	854
393	3145	846
394	3152	837
395	3159	829
396	3166	821
397	3173	813
398	3180	805
399	3187	796
400	3195	788
401	3203	780
402	3210	772
403	3217	764
404	3224	756
405	3232	748
406	3239	740
407	3246	731
408	3253	723
409	3260	715
410	3268	707
411	3275	699
412	3282	691
413	3289	683
414	3296	675
415	3303	667
416	3310	658
417	3317	650
418	3325	642
419	3331	634
420	3338	626
421	3346	618
422	3353	610
423	3360	602
424	3367	594
425	3374	586
426	3381	578
427	3388	570
428	3395	561
429	3402	553
430	3409	545
431	3416	537
432	3423	529
433	3431	521
434	3438	513
435	3445	505
436	3453	497
437	3460	489
438	3466	481
439	3473	473
440	3480	465
441	3487	457
442	3495	449
443	3502	441
444	3509	433
445	3516	425
446	3523	417
447	3530	409
448	3537	401
449	3544	393
