iter	MAE
172	47180.19747
173	47163.17796
174	47147.14408
175	47131.51436
176	47116.05982
177	47100.04479
178	47083.95099
179	47069.26502
180	47054.86289
181	47041.95087
182	47027.82521
183	47015.73288
184	47001.42912
185	46987.93167
186	46975.68877
187	46963.05863
188	46950.07896
189	46937.78579
190	46920.22325
191	46908.54231
192	46895.08665
193	46883.30203
194	46870.17978
195	46856.50546
196	46844.32764
197	46832.85753
198	46822.13257
199	46811.78853
200	46800.61452
201	46786.36939
202	46774.8548
203	46764.33211
204	46754.29617
205	46745.33542
206	46737.34895
207	46727.70175
208	46717.91933
209	46710.18047
210	46701.4997
211	46689.50008
212	46681.74524
213	46672.08995
214	46661.86887
215	46652.08398
216	46643.75373
217	46636.11507
218	46626.33005
219	46617.39195
220	46609.03515
221	46598.58609
222	46589.53569
223	46582.08518
224	46573.29473
225	46566.86379
226	46559.80985
227	46552.32367
228	46546.20384
229	46538.93764
230	46533.34723
231	46527.46686
232	46521.07673
233	46514.07753
234	46508.13942
235	46501.52841
236	46494.86204
237	46489.30982
238	46482.34324
239	46478.67791
240	46472.62001
241	46467.90308
242	46461.18577
243	46454.34559
244	46449.5358
245	46444.28019
246	46440.12794
247	46435.09745
248	46431.81565
249	46427.33698
250	46422.46523
251	46417.39456
252	46414.69155
253	46408.69512
254	46403.34759
255	46396.91304
256	46391.73318
257	46387.33331
258	46382.39874
259	46377.76742
260	46371.61755
261	46366.54969
262	46361.12624
263	46356.58017
264	46351.86968
265	46346.44359
266	46342.36156
267	46338.139
268	46334.25882
269	46328.23358
270	46323.84525
271	46317.89208
272	46313.26185
273	46309.13731
274	46304.83035
275	46300.85842
276	46297.49823
277	46293.99951
278	46287.12772
279	46282.21678
280	46275.93665
281	46272.59146
282	46269.11079
283	46265.07916
284	46262.35226
285	46259.12366
286	46255.62519
287	46251.58163
288	46247.4312
289	46243.09266
290	46239.76648
291	46236.77926
292	46232.84422
293	46228.92702
294	46225.51038
295	46222.94509
296	46219.13398
297	46215.03988
298	46209.64893
299	46205.22139
300	46201.46707
301	46197.93184
302	46193.18099
303	46189.86407
304	46184.59347
305	46179.77642
306	46176.65559
307	46172.12828
308	46168.65536
309	46165.9467
310	46163.09547
311	46159.85578
312	46151.48644
313	46145.8474
314	46142.9621
315	46133.07327
316	46128.82666
317	46122.00939
318	46119.17792
319	46115.69272
320	46112.7415
321	46108.61501
322	46104.82234
323	46102.70587
324	46099.3543
325	46094.7132
326	46091.50494
327	46089.07968
328	46084.61075
329	46082.70842
330	46073.79741
331	46070.9982
332	46069.14665
333	46065.31606
334	46062.5992
335	46059.82946
336	46057.50532
337	46053.56422
338	46050.80429
339	46047.67645
340	46045.17093
341	46042.42486
342	46039.1242
343	46035.24763
344	46031.91493
345	46025.32558
346	46023.71444
347	46019.11057
348	46014.69446
349	46013.06418
350	46010.73064
351	46008.61157
352	46004.82777
353	46003.62758
354	45989.21784
355	45988.00769
356	45984.33259
357	45981.17817
358	45979.48702
359	45977.2718
360	45973.44785
361	45970.63417
362	45967.90591
363	45965.78297
364	45964.20584
365	45962.34267
366	45958.92366
367	45956.31663
368	45953.78478
369	45950.62029
370	45946.37184
371	45944.13469
372	45941.10489
373	45938.21922
374	45936.69055
375	45934.47678
376	45931.19021
377	45927.80438
378	45925.07769
379	45921.95279
380	45920.40259
381	45918.11192
382	45914.99099
383	45912.13737
384	45910.6003
385	45908.80272
386	45905.75131
387	45902.77126
388	45900.6675
389	45899.19542
390	45896.1888
391	45892.82948
392	45888.2784
393	45884.9355
394	45881.37606
395	45877.82455
396	45874.00141
397	45871.62622
398	45869.82781
399	45867.31412
400	45864.67778
401	45862.33841
402	45860.12342
403	45857.00293
404	45855.06562
405	45852.104
406	45850.07261
407	45847.64938
408	45845.03687
409	45840.94357
410	45838.85981
411	45834.84447
412	45830.86673
413	45829.06087
414	45826.06563
415	45823.22491
416	45820.30674
417	45815.87697
418	45813.30142
419	45811.35213
420	45808.65881
421	45806.36685
422	45804.37025
423	45803.09216
424	45800.30564
425	45797.35643
426	45794.46016
427	45791.06097
428	45788.49937
429	45773.36629
430	45769.87203
431	45767.87177
432	45765.21376
433	45761.06243
434	45758.4289
435	45756.03266
436	45753.86577
437	45750.31772
438	45749.58227
439	45746.97723
440	45743.36095
441	45738.8338
442	45736.12735
443	45732.24812
444	45730.38949
445	45727.71606
446	45725.01323
447	45721.84438
448	45720.01114
449	45717.94493
450	45715.62265
451	45711.63208
452	45710.05998
453	45707.00437
454	45704.81907
455	45701.64007
456	45699.24756
457	45696.21562
458	45692.94919
459	45691.6001
460	45688.71097
461	45686.61019
462	45683.81069
463	45680.92594
464	45678.08481
465	45675.17872
466	45673.3332
467	45671.82562
468	45669.32269
469	45666.71158
470	45660.88643
471	45659.13223
472	45639.92934
473	45636.56489
474	45634.45177
475	45632.97775
476	45630.48879
477	45628.10085
478	45625.08225
479	45623.11191
480	45620.03651
481	45618.117
482	45615.80769
483	45614.10698
484	45611.61827
485	45609.51688
486	45606.5111
487	45604.53447
488	45601.67882
489	45600.38287
490	45598.29333
491	45596.45956
492	45594.43039
493	45591.26633
494	45589.38562
495	45588.0314
496	45586.09651
497	45583.14188
498	45581.25663
499	45578.80393
