iter	Passed	Remaining
158	1436	3081
159	1446	3073
160	1456	3065
161	1465	3057
162	1473	3046
163	1483	3039
164	1490	3027
165	1500	3018
166	1507	3006
167	1517	2998
168	1525	2988
169	1533	2977
170	1543	2969
171	1551	2959
172	1560	2948
173	1567	2936
174	1576	2928
175	1584	2916
176	1592	2906
177	1599	2894
178	1609	2886
179	1618	2877
180	1628	2870
181	1637	2861
182	1646	2852
183	1654	2842
184	1662	2830
185	1670	2819
186	1677	2807
187	1685	2796
188	1693	2786
189	1701	2775
190	1708	2764
191	1715	2752
192	1723	2741
193	1729	2728
194	1737	2718
195	1744	2706
196	1753	2696
197	1760	2685
198	1768	2675
199	1775	2663
200	1784	2654
201	1792	2644
202	1802	2636
203	1809	2624
204	1817	2616
205	1824	2604
206	1832	2593
207	1839	2582
208	1847	2572
209	1854	2560
210	1862	2551
211	1869	2539
212	1877	2530
213	1884	2518
214	1892	2508
215	1898	2496
216	1905	2485
217	1912	2474
218	1920	2463
219	1928	2453
220	1936	2444
221	1944	2435
222	1952	2424
223	1960	2415
224	1967	2404
225	1976	2395
226	1983	2385
227	1992	2377
228	2000	2367
229	2009	2358
230	2018	2350
231	2027	2342
232	2036	2333
233	2043	2322
234	2051	2313
235	2059	2304
236	2069	2296
237	2076	2286
238	2085	2277
239	2093	2267
240	2101	2258
241	2108	2247
242	2117	2239
243	2125	2230
244	2135	2222
245	2142	2212
246	2151	2203
247	2158	2193
248	2167	2185
249	2175	2175
250	2182	2165
251	2189	2154
252	2197	2145
253	2204	2134
254	2211	2124
255	2218	2114
256	2225	2103
257	2231	2093
258	2238	2083
259	2245	2072
260	2252	2062
261	2258	2051
262	2266	2042
263	2272	2031
264	2279	2021
265	2285	2010
266	2292	2000
267	2299	1990
268	2307	1981
269	2315	1972
270	2323	1963
271	2331	1954
272	2340	1945
273	2347	1936
274	2355	1927
275	2364	1919
276	2373	1910
277	2381	1901
278	2389	1892
279	2397	1883
280	2405	1874
281	2415	1867
282	2426	1860
283	2436	1853
284	2444	1843
285	2451	1834
286	2459	1825
287	2468	1816
288	2476	1807
289	2484	1798
290	2492	1789
291	2499	1780
292	2507	1771
293	2515	1762
294	2523	1753
295	2532	1745
296	2540	1736
297	2548	1727
298	2556	1718
299	2564	1709
300	2572	1700
301	2581	1692
302	2588	1682
303	2595	1673
304	2602	1663
305	2609	1654
306	2616	1644
307	2624	1635
308	2631	1626
309	2638	1617
310	2646	1608
311	2653	1598
312	2660	1589
313	2668	1580
314	2676	1571
315	2684	1563
316	2693	1554
317	2703	1547
318	2713	1539
319	2723	1531
320	2730	1522
321	2738	1513
322	2746	1504
323	2754	1496
324	2761	1486
325	2769	1477
326	2777	1469
327	2785	1460
328	2794	1452
329	2803	1443
330	2811	1435
331	2819	1426
332	2826	1417
333	2833	1408
334	2840	1398
335	2846	1389
336	2853	1380
337	2860	1371
338	2868	1362
339	2875	1353
340	2883	1344
341	2890	1335
342	2898	1326
343	2905	1317
344	2912	1308
345	2919	1299
346	2926	1290
347	2933	1281
348	2940	1272
349	2947	1263
350	2954	1254
351	2962	1245
352	2969	1236
353	2976	1227
354	2984	1218
355	2991	1209
356	2998	1200
357	3004	1191
358	3011	1182
359	3018	1173
360	3025	1164
361	3032	1156
362	3039	1147
363	3048	1138
364	3054	1129
365	3061	1120
366	3068	1111
367	3075	1103
368	3082	1094
369	3089	1085
370	3096	1076
371	3103	1068
372	3110	1059
373	3117	1050
374	3124	1041
375	3131	1032
376	3138	1023
377	3145	1015
378	3153	1006
379	3160	998
380	3168	989
381	3176	981
382	3186	973
383	3194	965
384	3203	956
385	3213	948
386	3220	940
387	3230	932
388	3239	924
389	3247	915
390	3256	907
391	3264	899
392	3272	890
393	3279	882
394	3287	873
395	3295	865
396	3302	856
397	3310	848
398	3318	840
399	3326	831
400	3333	822
401	3340	814
402	3347	805
403	3355	797
404	3363	788
405	3370	780
406	3378	771
407	3385	763
408	3394	755
409	3402	746
410	3409	738
411	3415	729
412	3422	720
413	3429	712
414	3437	704
415	3444	695
416	3451	687
417	3458	678
418	3465	669
419	3472	661
420	3480	653
421	3487	644
422	3494	636
423	3502	627
424	3509	619
425	3517	611
426	3525	602
427	3532	594
428	3540	586
429	3547	577
430	3555	569
431	3562	560
432	3570	552
433	3577	544
434	3585	535
435	3592	527
436	3600	519
437	3607	510
438	3615	502
439	3623	494
440	3631	485
441	3639	477
442	3647	469
443	3654	460
444	3663	452
445	3670	444
446	3678	436
447	3685	427
448	3694	419
449	3701	411
